M_GeV,log_M_over_MP,c_bar,sigma_c,sigma_c_over_c
5.0000e+12,-13.096019,1937.1100,543.6300,0.2806
5.6442e+12,-12.974831,1937.1100,543.6300,0.2806
6.3714e+12,-12.853642,1937.1100,543.6300,0.2806
7.1922e+12,-12.732453,1937.1100,543.6300,0.2806
8.1189e+12,-12.611265,1937.1100,543.6300,0.2806
9.1649e+12,-12.490076,1937.1100,543.6300,0.2806
1.0346e+13,-12.368887,1937.1100,543.6300,0.2806
1.1679e+13,-12.247699,1937.1100,543.6300,0.2806
1.3183e+13,-12.126510,1937.1100,543.6300,0.2806
1.4882e+13,-12.005321,1937.1100,543.6300,0.2806
1.6799e+13,-11.884133,1937.1100,543.6300,0.2806
1.8963e+13,-11.762944,1937.1100,543.6300,0.2806
2.1407e+13,-11.641755,1937.1100,543.6300,0.2806
2.4165e+13,-11.520566,1937.1100,543.6300,0.2806
2.7278e+13,-11.399378,1937.1100,543.6300,0.2806
3.0792e+13,-11.278189,1937.1100,543.6300,0.2806
3.4760e+13,-11.157000,1937.1100,543.6300,0.2806
3.9238e+13,-11.035812,1937.1100,543.6300,0.2806
4.4293e+13,-10.914623,1937.1100,543.6300,0.2806
5.0000e+13,-10.793434,1937.1100,543.6300,0.2806
